Parceiro;Unidade;Mes;Comissao;Volume
BOOKING;bilhetes;2026-01;37297.27;3379
BOOKING;bilhetes;2026-02;37467.45;3324
BOOKING;bilhetes;2026-03;41086.61;3811
BOOKING;bilhetes;2026-04;33722.84;4248
BOOKING;bilhetes;2026-05;64593.15;7491
BOOKING;bilhetes;2026-06;71096.22;7650
BOOKING;bilhetes;2026-07;77465.55;8472
ICATU;vidas;2026-01;322950.60;339948
ICATU;vidas;2026-02;329547.40;346892
ICATU;vidas;2026-03;337023.90;354762
ICATU;vidas;2026-04;343676.75;361765
ICATU;vidas;2026-05;351271.05;369759
ICATU;vidas;2026-06;355727.50;374450
ICATU;vidas;2026-07;363324.65;382447
DAYCOVAL;bilhetes;2026-01;129924.55;2085
DAYCOVAL;bilhetes;2026-02;134149.20;2085
DAYCOVAL;bilhetes;2026-03;170177.85;2085
DAYCOVAL;bilhetes;2026-04;168927.76;2085
DAYCOVAL;bilhetes;2026-05;153124.83;2085
DAYCOVAL;bilhetes;2026-06;182174.39;2085
DAYCOVAL;bilhetes;2026-07;189668.53;2883
